Ticker,DividendDate,PayDate,Type,Value,Currency
.SPX,2018-08-20,2018-08-20,DISCRETE,0.376407964,USD
.SPX,2018-08-21,2018-08-21,DISCRETE,0.125492395,USD
.SPX,2018-08-22,2018-08-22,DISCRETE,0.125507271,USD
.SPX,2018-08-23,2018-08-23,DISCRETE,0.125522152,USD
.SPX,2018-08-24,2018-08-24,DISCRETE,0.125537037,USD
.SPX,2018-08-27,2018-08-27,DISCRETE,0.376720583,USD
.SPX,2018-08-28,2018-08-28,DISCRETE,0.125596622,USD
.SPX,2018-08-29,2018-08-29,DISCRETE,0.12561153,USD
.SPX,2018-08-30,2018-08-30,DISCRETE,0.125626442,USD
.SPX,2018-08-31,2018-08-31,DISCRETE,0.125641359,USD
.SPX,2018-09-04,2018-09-04,DISCRETE,0.502755215,USD
.SPX,2018-09-05,2018-09-05,DISCRETE,0.125716013,USD
.SPX,2018-09-06,2018-09-06,DISCRETE,0.125730957,USD
.SPX,2018-09-07,2018-09-07,DISCRETE,0.125745906,USD
.SPX,2018-09-10,2018-09-10,DISCRETE,0.377347834,USD
.SPX,2018-09-11,2018-09-11,DISCRETE,0.125805748,USD
.SPX,2018-09-12,2018-09-12,DISCRETE,0.12582072,USD
.SPX,2018-09-13,2018-09-13,DISCRETE,0.125835697,USD
.SPX,2018-09-14,2018-09-14,DISCRETE,0.125850678,USD
.SPX,2018-09-17,2018-09-17,DISCRETE,0.377662471,USD
.SPX,2018-09-18,2018-09-18,DISCRETE,0.125910649,USD
.SPX,2018-09-19,2018-09-19,DISCRETE,0.125925653,USD
.SPX,2018-09-20,2018-09-20,DISCRETE,0.125940661,USD
.SPX,2018-09-21,2018-09-21,DISCRETE,0.125955597,USD
.SPX,2018-09-24,2018-09-24,DISCRETE,0.377976844,USD
.SPX,2018-09-25,2018-09-25,DISCRETE,0.126015382,USD
.SPX,2018-09-26,2018-09-26,DISCRETE,0.126030339,USD
.SPX,2018-09-27,2018-09-27,DISCRETE,0.1260453,USD
.SPX,2018-09-28,2018-09-28,DISCRETE,0.126060266,USD
.SPX,2018-10-01,2018-10-01,DISCRETE,0.378291156,USD
.SPX,2018-10-02,2018-10-02,DISCRETE,0.126120172,USD
.SPX,2018-10-03,2018-10-03,DISCRETE,0.126135159,USD
.SPX,2018-10-04,2018-10-04,DISCRETE,0.12615015,USD
.SPX,2018-10-05,2018-10-05,DISCRETE,0.126165146,USD
.SPX,2018-10-09,2018-10-09,DISCRETE,0.504851944,USD
.SPX,2018-10-10,2018-10-10,DISCRETE,0.126240191,USD
.SPX,2018-10-11,2018-10-11,DISCRETE,0.126255213,USD
.SPX,2018-10-12,2018-10-12,DISCRETE,0.126270239,USD
.SPX,2018-10-15,2018-10-15,DISCRETE,0.378921687,USD
.SPX,2018-10-16,2018-10-16,DISCRETE,0.126330387,USD
.SPX,2018-10-17,2018-10-17,DISCRETE,0.126345435,USD
.SPX,2018-10-18,2018-10-18,DISCRETE,0.126360487,USD
.SPX,2018-10-19,2018-10-19,DISCRETE,0.126375544,USD
.SPX,2018-10-22,2018-10-22,DISCRETE,0.379237909,USD
.SPX,2018-10-23,2018-10-23,DISCRETE,0.126435814,USD
.SPX,2018-10-24,2018-10-24,DISCRETE,0.126450893,USD
.SPX,2018-10-25,2018-10-25,DISCRETE,0.126465975,USD
.SPX,2018-10-26,2018-10-26,DISCRETE,0.126481063,USD
.SPX,2018-10-29,2018-10-29,DISCRETE,0.379554772,USD
.SPX,2018-10-30,2018-10-30,DISCRETE,0.126541455,USD
.SPX,2018-10-31,2018-10-31,DISCRETE,0.126556564,USD
.SPX,2018-11-01,2018-11-01,DISCRETE,0.126571677,USD
.SPX,2018-11-02,2018-11-02,DISCRETE,0.126586795,USD
.SPX,2018-11-05,2018-11-05,DISCRETE,0.379872276,USD
.SPX,2018-11-06,2018-11-06,DISCRETE,0.126647309,USD
.SPX,2018-11-07,2018-11-07,DISCRETE,0.126662449,USD
.SPX,2018-11-08,2018-11-08,DISCRETE,0.126677593,USD
.SPX,2018-11-09,2018-11-09,DISCRETE,0.126692741,USD
.SPX,2018-11-13,2018-11-13,DISCRETE,0.506965093,USD
.SPX,2018-11-14,2018-11-14,DISCRETE,0.126768549,USD
.SPX,2018-11-15,2018-11-15,DISCRETE,0.126783723,USD
.SPX,2018-11-16,2018-11-16,DISCRETE,0.126798902,USD
.SPX,2018-11-19,2018-11-19,DISCRETE,0.380509217,USD
.SPX,2018-11-20,2018-11-20,DISCRETE,0.126859662,USD
.SPX,2018-11-21,2018-11-21,DISCRETE,0.126874863,USD
.SPX,2018-11-23,2018-11-23,DISCRETE,0.253802504,USD
.SPX,2018-11-26,2018-11-26,DISCRETE,0.380828657,USD
.SPX,2018-11-27,2018-11-27,DISCRETE,0.126966162,USD
.SPX,2018-11-28,2018-11-28,DISCRETE,0.126981394,USD
.SPX,2018-11-29,2018-11-29,DISCRETE,0.12699663,USD
.SPX,2018-11-30,2018-11-30,DISCRETE,0.127011871,USD
.SPX,2018-12-03,2018-12-03,DISCRETE,0.381148744,USD
.SPX,2018-12-04,2018-12-04,DISCRETE,0.127072878,USD
.SPX,2018-12-05,2018-12-05,DISCRETE,0.127088141,USD
.SPX,2018-12-06,2018-12-06,DISCRETE,0.127103408,USD
.SPX,2018-12-07,2018-12-07,DISCRETE,0.12711868,USD
.SPX,2018-12-10,2018-12-10,DISCRETE,0.381469482,USD
.SPX,2018-12-11,2018-12-11,DISCRETE,0.127179811,USD
.SPX,2018-12-12,2018-12-12,DISCRETE,0.127195104,USD
.SPX,2018-12-13,2018-12-13,DISCRETE,0.127210403,USD
.SPX,2018-12-14,2018-12-14,DISCRETE,0.127225705,USD
.SPX,2018-12-17,2018-12-17,DISCRETE,0.38179087,USD
.SPX,2018-12-18,2018-12-18,DISCRETE,0.12728696,USD
.SPX,2018-12-19,2018-12-19,DISCRETE,0.127302285,USD
.SPX,2018-12-20,2018-12-20,DISCRETE,0.127317586,USD
.SPX,2018-12-21,2018-12-21,DISCRETE,0.127332891,USD
.SPX,2018-12-24,2018-12-24,DISCRETE,0.387537642,USD
.SPX,2018-12-26,2018-12-26,DISCRETE,0.258454493,USD
.SPX,2018-12-27,2018-12-27,DISCRETE,0.129254583,USD
.SPX,2018-12-28,2018-12-28,DISCRETE,0.12927529,USD
.SPX,2018-12-31,2018-12-31,DISCRETE,0.38797253,USD
.SPX,2019-01-02,2019-01-02,DISCRETE,0.258744519,USD
.SPX,2019-01-03,2019-01-03,DISCRETE,0.129399618,USD
.SPX,2019-01-04,2019-01-04,DISCRETE,0.129420353,USD
.SPX,2019-01-07,2019-01-07,DISCRETE,0.388408027,USD
.SPX,2019-01-08,2019-01-08,DISCRETE,0.129503338,USD
.SPX,2019-01-09,2019-01-09,DISCRETE,0.129524095,USD
.SPX,2019-01-10,2019-01-10,DISCRETE,0.129544855,USD
.SPX,2019-01-11,2019-01-11,DISCRETE,0.12956562,USD
.SPX,2019-01-14,2019-01-14,DISCRETE,0.388844135,USD
.SPX,2019-01-15,2019-01-15,DISCRETE,0.129648721,USD
.SPX,2019-01-16,2019-01-16,DISCRETE,0.129669507,USD
.SPX,2019-01-17,2019-01-17,DISCRETE,0.129690297,USD
.SPX,2019-01-18,2019-01-18,DISCRETE,0.129711091,USD
.SPX,2019-01-22,2019-01-22,DISCRETE,0.519097967,USD
.SPX,2019-01-23,2019-01-23,DISCRETE,0.129815124,USD
.SPX,2019-01-24,2019-01-24,DISCRETE,0.129835944,USD
.SPX,2019-01-25,2019-01-25,DISCRETE,0.129856767,USD
.SPX,2019-01-28,2019-01-28,DISCRETE,0.389718194,USD
.SPX,2019-01-29,2019-01-29,DISCRETE,0.129940103,USD
.SPX,2019-01-30,2019-01-30,DISCRETE,0.129960947,USD
.SPX,2019-01-31,2019-01-31,DISCRETE,0.129981796,USD
.SPX,2019-02-01,2019-02-01,DISCRETE,0.130002648,USD
.SPX,2019-02-04,2019-02-04,DISCRETE,0.390156148,USD
.SPX,2019-02-05,2019-02-05,DISCRETE,0.130086102,USD
.SPX,2019-02-06,2019-02-06,DISCRETE,0.130106975,USD
.SPX,2019-02-07,2019-02-07,DISCRETE,0.130127853,USD
.SPX,2019-02-08,2019-02-08,DISCRETE,0.130148736,USD
.SPX,2019-02-11,2019-02-11,DISCRETE,0.390594721,USD
.SPX,2019-02-12,2019-02-12,DISCRETE,0.130232307,USD
.SPX,2019-02-13,2019-02-13,DISCRETE,0.13025321,USD
.SPX,2019-02-14,2019-02-14,DISCRETE,0.130274118,USD
.SPX,2019-02-15,2019-02-15,DISCRETE,0.13029503,USD
.SPX,2019-02-19,2019-02-19,DISCRETE,0.521435971,USD
.SPX,2019-02-20,2019-02-20,DISCRETE,0.130399653,USD
.SPX,2019-02-21,2019-02-21,DISCRETE,0.13042059,USD
.SPX,2019-02-22,2019-02-22,DISCRETE,0.130441532,USD
.SPX,2019-02-25,2019-02-25,DISCRETE,0.391473733,USD
.SPX,2019-02-26,2019-02-26,DISCRETE,0.13052534,USD
.SPX,2019-02-27,2019-02-27,DISCRETE,0.130546303,USD
.SPX,2019-02-28,2019-02-28,DISCRETE,0.13056727,USD
.SPX,2019-03-01,2019-03-01,DISCRETE,0.130588241,USD
.SPX,2019-03-04,2019-03-04,DISCRETE,0.391914176,USD
.SPX,2019-03-05,2019-03-05,DISCRETE,0.130672169,USD
.SPX,2019-03-06,2019-03-06,DISCRETE,0.130693162,USD
.SPX,2019-03-07,2019-03-07,DISCRETE,0.130714159,USD
.SPX,2019-03-08,2019-03-08,DISCRETE,0.13073516,USD
.SPX,2019-03-11,2019-03-11,DISCRETE,0.392355246,USD
.SPX,2019-03-12,2019-03-12,DISCRETE,0.130819207,USD
.SPX,2019-03-13,2019-03-13,DISCRETE,0.13084023,USD
.SPX,2019-03-14,2019-03-14,DISCRETE,0.130861257,USD
.SPX,2019-03-15,2019-03-15,DISCRETE,0.130882288,USD
